CityState,Year,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,ZHVI_AllHomes,ZHVI_SingleFamilyResidence,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_SingleFamilyResidence
"Anchorage, AK",2007,,,,201.33333333333334,300758.3333333333,325150.0,,
"Anchorage, AK",2008,,,,199.5,296191.6666666667,319466.6666666667,,
"Anchorage, AK",2009,,,,185.41666666666666,272291.6666666667,294341.6666666667,,
"Anchorage, AK",2010,,,,175.33333333333334,259766.66666666666,282025.0,,
"Anchorage, AK",2011,,,,173.5,260233.33333333334,282508.3333333333,1.2224929477208837,1.1779703350400776
"Anchorage, AK",2012,,,,173.41666666666666,261325.0,282675.0,1.2052953970949292,1.1520455534007066
"Anchorage, AK",2013,,,,177.5,270575.0,293366.6666666667,1.2783908483216984,1.2167353024185774
"Anchorage, AK",2014,,,,183.5,279341.6666666667,303741.6666666667,1.2752247214456955,1.1953678515966542
"Anchorage, AK",2015,,,,188.16666666666666,289333.3333333333,312500.0,1.2839876294277657,1.2289811931881285
"Anchorage, AK",2016,,,,190.75,292975.0,315416.6666666667,1.2663752767792236,1.2203144883684824
"Anchorage, AK",2017,,,,191.0,293825.0,316162.5,1.2627920831183788,1.2178904239628874
"Atlanta, GA",2007,168.93150833333334,155.886225,213684.58333333334,157.33333333333334,194191.66666666666,179825.0,,
"Atlanta, GA",2008,154.56525,133.74663333333334,197900.83333333334,146.91666666666666,179708.33333333334,163200.0,,
"Atlanta, GA",2009,145.40115,124.55480833333333,178612.5,132.91666666666666,159566.66666666666,140708.33333333334,,
"Atlanta, GA",2010,146.2989666666667,125.74693333333333,189995.28333333333,121.41666666666667,145500.0,124391.66666666667,1.0880620215897185,0.9016277075809846
"Atlanta, GA",2011,153.5479,166.22648333333333,221904.16666666666,104.66666666666667,126366.66666666667,108141.66666666667,1.0593845738648582,0.81244687639699
"Atlanta, GA",2012,150.16093333333336,162.25723333333335,211296.66666666666,97.08333333333333,116083.33333333333,95025.0,0.9607921696208107,0.7818220721210901
"Atlanta, GA",2013,167.45009166666668,176.38573333333338,226000.0,109.0,132033.33333333334,103608.33333333333,0.979325100610973,0.8080775753669124
"Atlanta, GA",2014,182.25160833333337,184.10688333333334,233526.25,123.33333333333333,150266.66666666666,115733.33333333333,0.9337972237123614,0.7773376478403811
"Atlanta, GA",2015,194.08307499999998,195.48085,244295.83333333334,142.16666666666666,170983.33333333334,131966.66666666666,1.1049317580137878,0.8320832222886159
"Atlanta, GA",2016,206.58438571428573,209.5944857142857,250208.33333333334,162.33333333333334,192616.66666666666,154408.33333333334,1.2300116461931616,0.9043501736737661
"Atlanta, GA",2017,,,,177.25,208225.0,170450.0,1.4067882945082564,1.0255758632289556
"Boston, MA",2007,355.3761,254.79829166666664,352529.9083333334,323.25,359775.0,365408.3333333333,,
"Boston, MA",2008,361.7414833333334,233.0165166666667,353960.4166666667,316.6666666666667,347216.6666666667,347491.6666666667,,
"Boston, MA",2009,338.55199999999996,227.18234999999996,340121.3541666667,304.0,331641.6666666667,326400.0,,
"Boston, MA",2010,360.33265,241.54359166666669,364092.9166666667,310.6666666666667,338850.0,339883.3333333333,,
"Boston, MA",2011,381.57125833333333,234.06536666666668,383385.8333333333,309.1666666666667,342283.3333333333,339508.3333333333,2.820690438337497,
"Boston, MA",2012,382.1700416666667,246.91606666666667,393480.75,319.4166666666667,354966.6666666667,347841.6666666667,2.959529324118831,
"Boston, MA",2013,427.71995833333335,270.5424083333333,419487.5,351.5833333333333,390666.6666666667,379550.0,3.1440152457966426,
"Boston, MA",2014,459.3405083333333,282.698075,443900.0,389.8333333333333,425300.0,412108.3333333333,3.1322899122018257,
"Boston, MA",2015,492.0361166666667,307.628125,519570.8333333333,428.0833333333333,461383.3333333333,445500.0,3.162890633061204,
