table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts)													
"Table 1. Intercensal Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2010"													
Geographic Area	"April 1, 20001"	Intercensal Estimates (as of July 1)										"April 1, 20102"	"July 1, 20103"
New York	18977026.0	19001780.0	19082838.0	19137800.0	19175939.0	19171567.0	19132610.0	19104631.0	19132335.0	19212436.0	19307066.0	19378102.0	19392283.0
North Carolina	8046346.0	8081614.0	8210122.0	8326201.0	8422501.0	8553152.0	8705407.0	8917270.0	9118037.0	9309449.0	9449566.0	9535483.0	9561558.0
North Dakota	642237.0	642023.0	639062.0	638168.0	638817.0	644705.0	646089.0	649422.0	652822.0	657569.0	664968.0	672591.0	674499.0
Ohio	11353336.0	11363543.0	11387404.0	11407889.0	11434788.0	11452251.0	11463320.0	11481213.0	11500468.0	11515391.0	11528896.0	11536504.0	11536182.0
Oklahoma	3450451.0	3454365.0	3467100.0	3489080.0	3504892.0	3525233.0	3548597.0	3594090.0	3634349.0	3668976.0	3717572.0	3751351.0	3761702.0
Oregon	3421524.0	3429708.0	3467937.0	3513424.0	3547376.0	3569463.0	3613202.0	3670883.0	3722417.0	3768748.0	3808600.0	3831074.0	3838957.0
Pennsylvania	12280548.0	12284173.0	12298970.0	12331031.0	12374658.0	12410722.0	12449990.0	12510809.0	12563937.0	12612285.0	12666858.0	12702379.0	12709630.0
Rhode Island	1048259.0	1050268.0	1057142.0	1065995.0	1071342.0	1074579.0	1067916.0	1063096.0	1057315.0	1055003.0	1053646.0	1052567.0	1052886.0
South Carolina	4012023.0	4024223.0	4064995.0	4107795.0	4150297.0	4210921.0	4270150.0	4357847.0	4444110.0	4528996.0	4589872.0	4625364.0	4636312.0
South Dakota	754858.0	755844.0	757972.0	760020.0	763729.0	770396.0	775493.0	783033.0	791623.0	799124.0	807067.0	814180.0	816463.0
Tennessee	5689427.0	5703719.0	5750789.0	5795918.0	5847812.0	5910809.0	5991057.0	6088766.0	6175727.0	6247411.0	6306019.0	6346105.0	6356897.0
Texas	20851028.0	20944499.0	21319622.0	21690325.0	22030931.0	22394023.0	22778123.0	23359580.0	23831983.0	24309039.0	24801761.0	25145561.0	25257114.0
Utah	2233183.0	2244502.0	2283715.0	2324815.0	2360137.0	2401580.0	2457719.0	2525507.0	2597746.0	2663029.0	2723421.0	2763885.0	2776469.0
Vermont	608613.0	609618.0	612223.0	615442.0	617858.0	619920.0	621215.0	622892.0	623481.0	624151.0	624817.0	625741.0	625960.0
Virginia	7079057.0	7105817.0	7198362.0	7286873.0	7366977.0	7475575.0	7577105.0	7673725.0	7751000.0	7833496.0	7925937.0	8001024.0	8024617.0
Washington	5894281.0	5910512.0	5985722.0	6052349.0	6104115.0	6178645.0	6257305.0	6370753.0	6461587.0	6562231.0	6667426.0	6724540.0	6744496.0
West Virginia	1808193.0	1807021.0	1801481.0	1805414.0	1812295.0	1816438.0	1820492.0	1827912.0	1834052.0	1840310.0	1847775.0	1852994.0	1853973.0
Wisconsin	5363757.0	5373999.0	5406835.0	5445162.0	5479203.0	5514026.0	5546166.0	5577655.0	5610775.0	5640996.0	5669264.0	5686986.0	5691047.0
Wyoming	493786.0	494300.0	494657.0	500017.0	503453.0	509106.0	514157.0	522667.0	534876.0	546043.0	559851.0	563626.0	564460.0
													
Puerto Rico	3808605.0	3810605.0	3818774.0	3823701.0	3826095.0	3826878.0	3821362.0	3805214.0	3782995.0	3760866.0	3740410.0	3725789.0	3722133.0
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other
geographic program revisions."													
"2 The data source for April 1, 2010 is the 2010 Census count."													
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details 
on this methodology are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf."													
Note: See Geographic Terms and Definitions at http://www.census.gov/popest/geographic/ for a list of the states that are included in each region.													
Suggested Citation:													
"Table 1. Intercensal Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2010 (ST-EST00INT-01)"													
"Source: U.S. Census Bureau, Population Division"													
Release Date: September 2011 													
